sim_time,cmd_speed,pos_x,pos_y,pos_z,qx,qy,qz,qw,p0,p1,p2,p3,v0,v1,v2,v3
15.583,0.0,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.338434726197753e-20,-2.3384347070542374e-20,-2.3384348943368266e-20,-2.338434881179793e-20,3.302923859351533e-26,3.364458494627845e-26,3.419844550671054e-26,3.357245439778218e-26
15.603,0.0017999999999999794,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347323516495e-20,-2.338434712759405e-20,-2.3384349006487458e-20,-2.3384348872181866e-20,-2.8691529419950217e-26,-2.773035776446617e-26,-2.896072220404273e-26,-2.866375345722667e-26
15.623,0.0017999999999999794,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.338434731877054e-20,-2.3384347116458394e-20,-2.3384349000583005e-20,-2.3384348862667986e-20,-3.019026605999081e-26,-2.997996595599515e-26,-3.0215654173340587e-26,-2.93629099527517e-26
15.643,0.0017999999999999794,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.338434730723549e-20,-2.3384347108028e-20,-2.3384348983383906e-20,-2.338434884838663e-20,-6.9153926560388645e-28,-1.546368884467922e-27,-1.3102283017354324e-27,-4.583249126373343e-28
15.663,0.004300000000000015,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347298441094e-20,-2.338434709825077e-20,-2.3384348976260192e-20,-2.3384348842830435e-20,-1.0115525050724337e-26,-1.0651012747536889e-26,-9.81479483876994e-27,-1.0624625191503051e-26
15.683,0.004300000000000015,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.338434731865857e-20,-2.3384347113727395e-20,-2.3384348997331674e-20,-2.338434886335598e-20,-1.4737233353335592e-26,-1.552474354955637e-26,-1.515813318045287e-26,-1.5903001931532622e-26
15.703,0.0067999999999999615,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347282062703e-20,-2.3384347071274534e-20,-2.3384348966779892e-20,-2.33843488286824e-20,-1.8504184586140022e-26,-1.7999673283983086e-26,-1.8253101427162417e-26,-1.9045323558771327e-26
15.723,0.0067999999999999615,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.33843473002821e-20,-2.3384347088697387e-20,-2.3384348986028728e-20,-2.3384348845760503e-20,-9.889391238407719e-27,-9.417629257934513e-27,-8.903433283161203e-27,-8.820898971633374e-27
15.743,0.0067999999999999615,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.33843472820816e-20,-2.338434706312496e-20,-2.338434896427109e-20,-2.338434882366127e-20,1.2842615283092736e-26,1.4796180733522998e-26,1.429862453597996e-26,1.4510407766999894e-26
15.763,0.009299999999999998,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347302949522e-20,-2.338434707925366e-20,-2.3384348985014248e-20,-2.3384348849396923e-20,-6.020459819151507e-27,-6.550965653274088e-27,-6.3539912910310326e-27,-6.1243018420728295e-27
15.783,0.009299999999999998,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347268739845e-20,-2.3384347039179113e-20,-2.3384348954713264e-20,-2.3384348814580356e-20,1.4314199412937544e-26,1.4659119279519242e-26,1.3440312652339512e-26,1.4273615519887384e-26
15.803,0.011800000000000033,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347290928917e-20,-2.3384347053219967e-20,-2.3384348974444512e-20,-2.3384348833889976e-20,-2.6237438103510357e-26,-2.4851631551623375e-26,-2.5339024336956187e-26,-2.611805103674097e-26
15.823,0.011800000000000033,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.338434727340121e-20,-2.3384347031506256e-20,-2.3384348962053798e-20,-2.3384348815492552e-20,3.100069694609499e-26,3.2191386122609614e-26,3.0720596865235203e-26,3.1010526651285425e-26
15.843,0.011800000000000033,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347310044687e-20,-2.3384347066399993e-20,-2.3384348995769128e-20,-2.3384348846661335e-20,-2.4667143742590543e-26,-2.4638882037730588e-26,-2.4629315128714013e-26,-2.5045684135695943e-26
15.863,0.01429999999999998,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347307151176e-20,-2.3384347059421422e-20,-2.3384348995304458e-20,-2.3384348841559517e-20,-2.5644930199107454e-26,-2.540331776892829e-26,-2.571130573817571e-26,-2.58558655299056e-26
15.883,0.01429999999999998,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347277718383e-20,-2.3384347029230595e-20,-2.3384348966846132e-20,-2.3384348812949485e-20,8.951599938219868e-27,8.710272836336035e-27,9.266461315847916e-27,9.037506236580104e-27
15.903,0.016800000000000016,5.72304754154373e-20,-1.011201927501801e-20,0.04099942866928528,5.907350849298922e-19,2.7241822099949167e-18,-1.3257389876278937e-19,1.0,-2.3384347268758217e-20,-2.3384347024027265e-20,-2.3384348960263117e-20,-2.3384348807236367e-20,-1.6136402428189017e-26,-1.5395869385802774e-26,-1.5941028402031518e-26,-1.6375252342194107e-26
