t_LD,t_TO,stance_duration,landing_speed,theta_landing,theta_takeoff,veloc_takeoff,delta_psi,theta_TO,surface_angle_error,model_theta_t,model_theta_v,model_v_t,model_delta_psi,model_theta_TO,err_delta_psi,err_theta_TO
26.500103,26.5661891,0.0660860538,1.78670583,5.14213675,8.50670365,14.4391433,3.3645669,5.93243966,0.70710385,6.26268349,11.9447648,1.61740273,1.12054674,5.68208133,2.24402016,0.250358325
27.1491451,27.213309,0.0641639233,1.75757403,5.56350778,8.1010961,12.7326363,2.53758832,4.63154023,0.344239017,6.74199232,12.8929713,1.59026658,1.17848454,6.15097895,1.35910378,-1.51943872
27.7719772,27.8363831,0.0644059181,2.12340028,8.03340184,10.0855477,16.4635578,2.05214586,6.37801015,0.540415995,10.3517826,19.1637066,1.93709177,2.31838075,8.81192402,-0.266234892,-2.43391386
28.4494691,28.5153062,0.0658371449,1.72406535,4.9207836,7.53360818,11.5211389,2.61282458,3.98753076,0.452499027,5.93089198,11.3757456,1.55855317,1.01010838,5.44485362,1.6027162,-1.45732286
29.0261412,29.0922611,0.0661199093,1.64492422,7.04110303,9.81572677,16.4375025,2.77462373,6.62177575,0.445737323,8.37049512,16.1710656,1.48562445,1.32939208,7.80057047,1.44523165,-1.17879472
29.6775479,29.7433519,0.0658040047,1.98903189,6.50519195,9.68778237,14.3666246,3.18259042,4.67884225,0.35150977,8.19631812,15.3530951,1.80875957,1.69112618,7.15677697,1.49146425,-2.47793472
30.2265441,30.2907403,0.0641961098,1.62409244,4.47103193,4.96923915,9.00652796,0.498207228,4.0372888,0.362151068,5.30093756,10.2590538,1.46488361,0.829905639,4.95811626,-0.331698411,-0.920827453
30.8328249,30.8982749,0.0654499531,2.01957378,4.27118426,5.64034118,9.5045657,1.36915692,3.86422452,0.408966197,5.41401685,10.1118809,1.83650451,1.14283259,4.69786406,0.226324336,-0.83363954
31.4291182,31.4937119,0.064593792,1.79892621,5.69134261,5.88615239,11.1277637,0.194809778,5.24161127,0.169453811,6.94469228,13.2314201,1.62914891,1.25334967,6.28672779,-1.05853989,-1.04511652
32.0456669,32.109962,0.0642950535,1.90150494,3.38966128,4.33662001,6.84045808,0.946958734,2.50383806,0.456776552,4.21125691,7.94885924,1.72470714,0.821595634,3.73760233,0.1253631,-1.23376426
32.655942,32.7208848,0.0649428368,1.85306139,5.50754126,7.66206774,12.6525987,2.15452648,4.99053096,0.37024033,6.78256247,12.8596501,1.67995498,1.27502122,6.07708766,0.879505264,-1.0865567
