theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
0,1,0,0,0.889341087
0,1.05,0,0,0.934780462
0,1.1,0,0,0.980328739
0,1.15,0,0,1.02598532
0,1.2,0,0,1.07174931
0,1.25,0,0,1.11761952
0,1.3,0,0,1.16359452
0,1.35,0,0,1.2096727
0,1.4,0,0,1.25585225
0,1.45,0,0,1.30213123
0,1.5,0,0,1.34850758
0,1.55,0,0,1.39497916
0,1.6,0,0,1.44154373
0,1.65,0,0,1.48819904
0,1.7,0,0,1.53494276
0,1.75,0,0,1.58177257
0,1.8,0,0,1.62868614
0,1.85,0,0,1.67568114
0,1.9,0,0,1.72275526
0,1.95,0,0,1.7699062
0,2,0,0,1.8171317
0,2.05,0,0,1.86442955
0,2.1,0,0,1.91179755
0,2.15,0,0,1.95923357
0,2.2,0,0,2.00673552
0,2.25,0,0,2.05430136
0,2.3,0,0,2.1019291
0,2.35,0,0,2.1496168
0,2.4,0,0,2.19736259
0,2.45,0,0,2.24516464
0,2.5,0,0,2.29302118
0,2.55,0,0,2.34093048
0,2.6,0,0,2.3888909
0,2.65,0,0,2.43690082
0,2.7,0,0,2.48495867
0,2.75,0,0,2.53306297
0,2.8,0,0,2.58121225
0,2.85,0,0,2.6294051
0,2.9,0,0,2.67764017
0,2.95,0,0,2.72591615
0,3,0,0,2.77423177
0,3.05,0,0,2.82258581
0,3.1,0,0,2.87097709
0,3.15,0,0,2.91940448
0,3.2,0,0,2.96786687
0,3.25,0,0,3.01636321
0,3.3,0,0,3.06489247
0,3.35,0,0,3.11345367
0,3.4,0,0,3.16204586
0,3.45,0,0,3.21066812
0,3.5,0,0,3.25931956
0.5,1,0.0395088422,0.562210658,0.88934934
0.5,1.05,0.0431863517,0.561625937,0.934788993
0.5,1.1,0.0469854778,0.561033102,0.980337536
0.5,1.15,0.0509015068,0.560433746,1.02599437
0.5,1.2,0.0549299848,0.559829359,1.0717586
0.5,1.25,0.0590667211,0.559221325,1.11762904
0.5,1.3,0.0633077874,0.558610922,1.16360426
0.5,1.35,0.0676495144,0.55799933,1.20968264
0.5,1.4,0.072088486,0.557387628,1.25586239
0.5,1.45,0.0766215323,0.556776801,1.30214155
0.5,1.5,0.0812457208,0.556167743,1.34851808
0.5,1.55,0.0859583468,0.555561262,1.39498983
0.5,1.6,0.0907569231,0.554958083,1.44155456
0.5,1.65,0.0956391698,0.554358856,1.48821001
0.5,1.7,0.100603003,0.55376416,1.53495388
0.5,1.75,0.105646524,0.553174507,1.58178382
0.5,1.8,0.110768011,0.552590347,1.62869752
0.5,1.85,0.115965904,0.552012072,1.67569265
0.5,1.9,0.1212388,0.551440025,1.72276688
0.5,1.95,0.126585441,0.550874497,1.76991793
0.5,2,0.132004703,0.550315737,1.81714354
0.5,2.05,0.137495593,0.549763953,1.86444148
0.5,2.1,0.143057234,0.549219319,1.91180958
0.5,2.15,0.148688863,0.548681971,1.95924569
0.5,2.2,0.15438982,0.548152021,2.00674772
0.5,2.25,0.160159543,0.547629548,2.05431364
0.5,2.3,0.165997563,0.547114611,2.10194145
0.5,2.35,0.171903496,0.546607244,2.14962923
0.5,2.4,0.177877036,0.546107465,2.19737509
0.5,2.45,0.183917955,0.545615271,2.2451772
0.5,2.5,0.190026095,0.545130645,2.2930338
0.5,2.55,0.196201363,0.544653556,2.34094317
0.5,2.6,0.202443732,0.544183961,2.38890364
0.5,2.65,0.20875323,0.543721807,2.43691361
0.5,2.7,0.215129942,0.54326703,2.48497152
0.5,2.75,0.221574006,0.542819558,2.53307586
0.5,2.8,0.228085608,0.542379313,2.58122518
0.5,2.85,0.234664983,0.54194621,2.62941808
0.5,2.9,0.241312409,0.541520159,2.67765319
0.5,2.95,0.248028208,0.541101067,2.72592921
0.5,3,0.254812742,0.540688834,2.77424487
0.5,3.05,0.26166641,0.54028336,2.82259895
0.5,3.1,0.268589652,0.539884542,2.87099026
0.5,3.15,0.27558294,0.539492274,2.91941768
0.5,3.2,0.282646782,0.539106448,2.9678801
0.5,3.25,0.289781718,0.538726958,3.01637647
0.5,3.3,0.296988322,0.538353693,3.06490576
0.5,3.35,0.304267197,0.537986546,3.11346699
0.5,3.4,0.311618977,0.537625408,3.1620592
0.5,3.45,0.319044324,0.537270169,3.21068149
0.5,3.5,0.326543931,0.536920721,3.25933296
1,1,0.0790071839,1.12440133,0.889374094
1,1.05,0.0863613417,1.12323231,0.934814584
1,1.1,0.0939587193,1.12204707,0.980363923
1,1.15,0.10178989,1.12084878,1.02602152
1,1.2,0.109845947,1.11964042,1.07178647
1,1.25,0.11811851,1.11842476,1.11765759
