theta_LD_deg,speed_m_s,delta_psi_deg,theta_TO_deg,v_TO_m_s
0,0.1,0,0,0.0878528981
0,0.15,0,0,0.131803824
0,0.2,0,0,0.175783839
0,0.25,0,0,0.219802173
0,0.3,0,0,0.263867675
0,0.35,0,0,0.307988732
0,0.4,0,0,0.352173206
0,0.45,0,0,0.396428382
0,0.5,0,0,0.440760921
0,0.55,0,0,0.485176838
0,0.6,0,0,0.529681485
0,0.65,0,0,0.574279542
0,0.7,0,0,0.618975031
0,0.75,0,0,0.663771324
0,0.8,0,0,0.708671172
0,0.85,0,0,0.753676731
0,0.9,0,0,0.798789599
0,0.95,0,0,0.844010852
0,1,0,0,0.889341087
0,1.05,0,0,0.934780462
0,1.1,0,0,0.980328739
0,1.15,0,0,1.02598532
0,1.2,0,0,1.07174931
0,1.25,0,0,1.11761952
0,1.3,0,0,1.16359452
0,1.35,0,0,1.2096727
0,1.4,0,0,1.25585225
0,1.45,0,0,1.30213123
0,1.5,0,0,1.34850758
0,1.55,0,0,1.39497916
0,1.6,0,0,1.44154373
0,1.65,0,0,1.48819904
0,1.7,0,0,1.53494276
0,1.75,0,0,1.58177257
0,1.8,0,0,1.62868614
0,1.85,0,0,1.67568114
0,1.9,0,0,1.72275526
0,1.95,0,0,1.7699062
0,2,0,0,1.8171317
0,2.05,0,0,1.86442955
0,2.1,0,0,1.91179755
0,2.15,0,0,1.95923357
0,2.2,0,0,2.00673552
0,2.25,0,0,2.05430136
0,2.3,0,0,2.1019291
0,2.35,0,0,2.1496168
0,2.4,0,0,2.19736259
0,2.45,0,0,2.24516464
0,2.5,0,0,2.29302118
0,2.55,0,0,2.34093048
0,2.6,0,0,2.3888909
0,2.65,0,0,2.43690082
0,2.7,0,0,2.48495867
0,2.75,0,0,2.53306297
0,2.8,0,0,2.58121225
0,2.85,0,0,2.6294051
0,2.9,0,0,2.67764017
0,2.95,0,0,2.72591615
0,3,0,0,2.77423177
0,3.05,0,0,2.82258581
0,3.1,0,0,2.87097709
0,3.15,0,0,2.91940448
0,3.2,0,0,2.96786687
0,3.25,0,0,3.01636321
0,3.3,0,0,3.06489247
0,3.35,0,0,3.11345367
0,3.4,0,0,3.16204586
0,3.45,0,0,3.21066812
0,3.5,0,0,3.25931956
0,3.55,0,0,3.30799934
0,3.6,0,0,3.35670662
0,3.65,0,0,3.40544061
0,3.7,0,0,3.45420055
0,3.75,0,0,3.50298569
0,3.8,0,0,3.55179532
0,3.85,0,0,3.60062875
0,3.9,0,0,3.64948531
0,3.95,0,0,3.69836436
0,4,0,0,3.74726527
0,4.05,0,0,3.79618745
0,4.1,0,0,3.84513031
