sim_time,mode,qx,qy,qz,qw,r_ref_x,r_ref_y,r_ref_z,r_ref_w,roll,pitch,yaw,erot_x,erot_y,erot_z,omega_x,omega_y,omega_z,tau_x,tau_y,tau_z,thrust_des,thrust_actual,f0,f1,f2,f3,speed0,speed1,speed2,speed3,vz,z_target,pos_x,pos_y,pos_z
2.044,hover,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34127141999999994,0.34127141999999994,0.08531785499999998,0.08531785499999998,0.08531785499999998,0.08531785499999998,1686.3951197747222,1686.3951197747222,1686.3951197747222,1686.3951197747222,0.0,1.0199706000001014,0.0,0.0,1.0199706000001014
2.06,hover,1.0051241898426192e-39,8.245639993224155e-41,4.012716537573478e-21,1.0,0.0,0.0,0.0,1.0,2.0102483796852383e-39,1.649127998644831e-40,8.025433075146956e-21,0.0,0.0,0.0,6.741905201367666e-37,5.49854142930988e-38,-7.898548757753329e-18,-8.198156724863082e-40,-6.686226378040815e-41,9.604635289428047e-21,0.34127141999999994,0.34127141999999994,0.08531785499999998,0.08531785499999998,0.08531785499999998,0.08531785499999998,1686.3951197747222,1686.3951197747222,1686.3951197747222,1686.3951197747222,0.0,1.0199706000001014,0.0,0.0,1.0199706000001014
2.07,hover,4.1273714080914324e-39,1.2937649393651556e-38,1.71722063052601e-19,1.0,0.0,0.0,0.0,1.0,8.254742816182865e-39,2.587529878730311e-38,3.43444126105202e-19,0.0,0.0,0.0,4.100153459105608e-37,3.066207783423515e-36,4.786710873674607e-17,-5.069056168739668e-40,-3.710991184571142e-39,-5.779282479133869e-20,0.34127141999999994,0.34127141999999994,0.08531785499999998,0.08531785499999998,0.08531785499999998,0.08531785499999998,1686.3951197747222,1686.3951197747222,1686.3951197747222,1686.3951197747222,0.0,1.0199706000001014,0.0,0.0,1.0199706000001014
2.08,hover,6.18534362380246e-39,2.831493425451941e-38,5.18116249537205e-19,1.0,0.0,0.0,0.0,1.0,1.237068724760492e-38,5.662986850903882e-38,1.03623249907441e-18,0.0,0.0,0.0,4.130201158213798e-37,3.0840206287821725e-36,7.958818808515303e-17,-5.1464154192516345e-40,-3.763206805289353e-39,-9.665400189027857e-20,0.34127141999999994,0.34127141999999994,0.08531785499999998,0.08531785499999998,0.08531785499999998,0.08531785499999998,1686.3951197747222,1686.3951197747222,1686.3951197747222,1686.3951197747222,0.0,1.0199706000001014,0.0,0.0,1.0199706000001014
2.09,hover,8.26068692157422e-39,4.3798759135630486e-38,9.824731998486973e-19,1.0,0.0,0.0,0.0,1.0,1.652137384314844e-38,8.759751827126097e-38,1.9649463996973946e-18,0.0,0.0,0.0,4.168631022455895e-37,3.1080719980582217e-36,1.0139643013718277e-16,-5.234217566566709e-40,-3.8231491684011933e-39,-1.2383785665408606e-19,0.34127141999999994,0.34127141999999994,0.08531785499999998,0.08531785499999998,0.08531785499999998,0.08531785499999998,1686.3951197747222,1686.3951197747222,1686.3951197747222,1686.3951197747222,0.0,1.0199706000001014,0.0,0.0,1.0199706000001014
2.1,hover,1.0357341023143574e-38,5.941840817908986e-38,1.523654639207113e-18,1.0,0.0,0.0,0.0,1.0,2.0714682046287148e-38,1.1883681635817971e-37,3.047309278414226e-18,0.0,0.0,0.0,4.2145755349169076e-37,3.137703096673868e-36,1.1230055116319769e-16,-5.331496736869093e-40,-3.8900835177067086e-39,-1.3804580739693597e-19,0.36308276705231307,0.36308276705231307,0.09077069176307827,0.09077069176307827,0.09077069176307827,0.09077069176307827,1739.4509839130112,1739.4509839130112,1739.4509839130112,1739.4509839130112,-0.048469660116251485,1.0199706000001014,4.835483551350979e-38,-8.921872712332322e-39,1.0078531849710386
2.11,hover,1.2478894335138594e-38,7.520049430985019e-38,2.1000266509676673e-18,1.0,0.0,0.0,0.0,1.0,2.495778867027719e-38,1.5040098861970038e-37,4.200053301935335e-18,0.0,0.0,0.0,4.2674566981378154e-37,3.17247373674749e-36,1.1923953727066167e-16,-5.43762869971556e-40,-3.9635330231625293e-39,-1.4756498609859934e-19,0.36308276705231307,0.36308276705231307,0.09077069176307827,0.09077069176307827,0.09077069176307827,0.09077069176307827,1739.4509839130112,1739.4509839130112,1739.4509839130112,1739.4509839130112,-0.048469660116251485,1.0199706000001014,4.835483551350979e-38,-8.921872712332322e-39,1.0078531849710386
2.12,hover,1.462869551739668e-38,9.116980194086074e-38,2.702172039698802e-18,1.0,0.0,0.0,0.0,1.0,2.925739103479336e-38,1.8233960388172148e-37,5.404344079397604e-18,0.0,0.0,0.0,4.326856292847396e-37,3.2120646552475313e-36,1.2171774659475598e-16,-5.552176776295531e-40,-4.043162771915055e-39,-1.5175601475346008e-19,0.36308276705231307,0.36308276705231307,0.09077069176307827,0.09077069176307827,0.09077069176307827,0.09077069176307827,1739.4509839130112,1739.4509839130112,1739.4509839130112,1739.4509839130112,-0.048469660116251485,1.0199706000001014,4.835483551350979e-38,-8.921872712332322e-39,1.0078531849710386
2.13,hover,1.6809922979043968e-38,1.0734981223057396e-37,3.3196823262393215e-18,1.0,0.0,0.0,0.0,1.0,3.3619845958087937e-38,2.1469962446114793e-37,6.639364652478643e-18,0.0,0.0,0.0,4.392505987383927e-37,3.2562694421040844e-36,1.2493941871607856e-16,-5.674881469613207e-40,-4.128771210563958e-39,-1.5687141548620795e-19,0.36308276705231307,0.36308276705231307,0.09077069176307827,0.09077069176307827,0.09077069176307827,0.09077069176307827,1739.4509839130112,1739.4509839130112,1739.4509839130112,1739.4509839130112,-0.048469660116251485,1.0199706000001014,4.835483551350979e-38,-8.921872712332322e-39,1.0078531849710386
2.14,hover,1.9025662420444546e-38,1.237632849091236e-37,3.947848912873448e-18,1.0,0.0,0.0,0.0,1.0,3.805132484088909e-38,2.475265698182472e-37,7.895697825746897e-18,0.0,0.0,0.0,4.464280049487384e-37,3.3049884953326244e-36,1.2593070244571632e-16,-5.805653144632231e-40,-4.220283959391534e-39,-1.5932026298623044e-19,0.36308276705231307,0.36308276705231307,0.09077069176307827,0.09077069176307827,0.09077069176307827,0.09077069176307827,1739.4509839130112,1739.4509839130112,1739.4509839130112,1739.4509839130112,-0.048469660116251485,1.0199706000001014,4.835483551350979e-38,-8.921872712332322e-39,1.0078531849710386
