metric,value,target,pass
hover_mean_roll_deg,0.000000,2.000000,PASS
hover_mean_pitch_deg,0.000000,2.000000,PASS
hover_max_att_err_deg,0.000000,8.000000,PASS
hover_z_drift_m,0.126073,0.300000,PASS
hover_xy_drift_m,0.000000,0.300000,PASS
hover_pass,1,1,PASS
step_roll_settle_s,0.710000,5.000000,PASS
step_roll_steady_err_deg,0.000218,1.500000,PASS
step_roll_max_err_deg,5.318925,20.000000,PASS
step_roll_pass,1,1,PASS
step_pitch_settle_s,0.620000,5.000000,PASS
step_pitch_steady_err_deg,0.000634,1.500000,PASS
step_pitch_max_err_deg,4.018986,20.000000,PASS
step_pitch_pass,1,1,PASS
step_yaw_settle_s,0.210000,5.000000,PASS
step_yaw_steady_err_deg,0.001123,1.500000,PASS
step_yaw_max_err_deg,1.340928,20.000000,PASS
step_yaw_pass,1,1,PASS
step_level_settle_s,0.200000,5.000000,PASS
step_level_steady_err_deg,0.001034,1.500000,PASS
step_level_max_err_deg,0.922845,20.000000,PASS
step_level_pass,1,1,PASS
zero_max_motor_speed_rad_s,0.000000,5.000000,PASS
zero_z_drop_m,0.792501,0.050000,PASS
zero_pass,1,1,PASS
