type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.58,0.0,0.0,0.26512560000010454,nan,nan,0.0,0.0,1.0,
cycle,1,2.63,0.0,0.0,0.23689911848230807,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,1,,,,,,,3.06,7.659962686799712e-20,-1.1091052439791386e-20,0.8601527462271087,0.6,3.421323714724104,5.1066417911998086e-20,-7.394034959860925e-21,0.0,0.0,1.0,-1.2502966961122224e-19,-1.9304309073827489e-19,1.0,-6.877491790484382e-20,-8.059356799306586e-19,0.0,0.7063310433232701,,,,,,,,,1.0,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.38,5.34991149334946e-19,-7.194508043368039e-20,0.2645906893993013,3.0082174629939764e-19,nan,0.0,0.0,1.0,
cycle,2,3.43,3.0745679878690946e-18,-4.87870524035605e-19,0.23176120523001997,3.4962923757956936,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,2,,,,,,,3.81,5.1824071152039534e-17,-8.597439300945178e-18,0.7104306966100133,0.6,4.126259429163872,1.7274690384013182e-17,-2.86581310031506e-18,0.0,0.0,1.0,-4.318204962111319e-17,-6.00770957168245e-17,1.0,1.2019632929213167e-17,-2.0956481602035004e-16,0.08959832434113806,0.6622526893848266,,,,,,,,,1.0,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.09,9.118947654842674e-17,-1.5400255539489072e-17,0.24734928279185128,3.0059254881686786e-18,9.242916199130839e-17,0.0,0.0,1.0,
cycle,3,4.14,1.0535371135405465e-16,-1.829047592512135e-17,0.24971384325496884,3.0640313861452566,0.08959832434113806,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,3,,,,,,,4.57,3.1744654483884646e-16,-5.49185431416904e-17,0.796514312089192,0.6,4.91289385851927,0.0,0.0,0.0,0.0,1.0,-1.5628098151251927e-16,-2.306043630382347e-16,1.0,1.5186035916059372e-16,-9.323686696112886e-16,0.06624493695496174,0.6837489459136261,,,,,,,,,1.0,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,4.87,4.815315972827121e-16,-8.110593765346355e-17,0.26972646789461935,1.6231078828595143e-17,4.708035606208171e-16,0.0,0.0,1.0,
cycle,4,4.92,5.258415025872758e-16,-9.481658513268357e-17,0.22816378788839642,3.2748376502334082,0.06624493695496174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,4,,,,,,,5.36,1.3264629608571346e-15,-4.011792588688599e-16,0.8152347576213633,0.6,5.70841657046544,0.0,0.0,0.0,0.0,1.0,-5.801034972513712e-16,-7.920571898274031e-16,1.0,6.942753891507646e-16,-3.8346704148894936e-15,0.0538101784279663,0.6958274540062461,,,,,,,,,1.0,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,5.67,1.956879603431687e-15,-6.198916470885776e-16,0.245221797136219,7.116511139436124e-17,2.052716111998234e-15,0.0,0.0,1.0,
cycle,5,5.72,2.1199255359979975e-15,-6.095552573639269e-16,0.2510808874753037,3.3932873516199007,0.0538101784279663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,5,,,,,,,6.15,4.4266629275429904e-15,-1.0036490346402124e-16,0.8324947728809894,0.6,6.503431987876304,0.0,0.0,0.0,0.0,1.0,-1.6568140408501683e-15,-3.1629794090080596e-15,1.0,2.574759480930367e-15,-1.0926466611764842e-14,0.05550390051367009,0.6941562785708173,,,,,,,,,1.0,
landing,5,,,,,,,,,,,,,,,,,,,,,,,,,6.46,6.285029872606378e-15,3.1508223316082427e-16,0.2737837529244946,1.7614086943047265e-16,6.292922795745086e-15,0.0,0.0,1.0,
cycle,6,6.52,7.027621435942473e-15,4.418493434057887e-16,0.25309063462130593,3.3768987190360527,0.05550390051367009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,6,,,,,,,6.96,1.781213159028634e-14,2.0939426797054435e-15,0.8340207809642419,0.6,7.3138719953470765,0.0,0.0,0.0,0.0,1.0,-7.68484931858929e-15,-1.3958551545418843e-14,1.0,9.203363926082128e-15,-4.70146403391465e-14,0.055649500711053165,0.6940129992594806,,,,,,,,,1.0,
landing,6,,,,,,,,,,,,,,,,,,,,,,,,,7.27,2.6358088960494083e-14,3.396739039672985e-15,0.2508319170639323,9.025247712212778e-16,2.6576054819196898e-14,0.0,0.0,1.0,
cycle,7,7.32,2.920401960573788e-14,3.789266367704184e-15,0.2438042750382899,3.3754936289775315,0.055649500711053165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,7,,,,,,,7.77,7.791857906605383e-14,1.0288875329960664e-14,0.8426661836359627,0.6,8.126354543320744,0.0,0.0,-6.368744334155984e-14,-8.409703000913391e-15,1.0,-3.327020162632772e-14,-5.5093792158801954e-14,1.0,5.4192563530551046e-14,-1.8458787299438656e-13,0.05033207674375255,0.6992849633426852,,,,,,,,,1.0,
landing,7,,,,,,,,,,,,,,,,,,,,,,,,,8.08,1.1546659051040069e-13,1.5283262257200918e-14,0.24818671149344793,3.919772325328269e-15,1.1647365208200065e-13,0.0,0.0,1.0,
cycle,8,8.13,1.2812812323949976e-13,1.6929756647706395e-14,0.24697835911559948,3.42719393555409,0.05033207674375255,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,8,,,,,,,8.57,3.3465555058443896e-13,4.3629177284388865e-14,0.8489675323927751,0.6,8.928153148867251,0.0,0.0,-1.2447126316678719e-13,-1.6227369519121784e-14,1.0,-1.436193152645808e-13,-5.0536390686517144e-14,1.0,1.9766536355465806e-13,-9.605078225722537e-14,0.0,0.7001962606632314,,,,,,,,,1.0,
landing,8,,,,,,,,,,,,,,,,,,,,,,,,,8.89,5.031358882453237e-13,6.542660725956721e-14,0.24793687847368723,1.2283875918841468e-14,5.073720163528026e-13,0.0,0.0,1.0,
cycle,9,8.94,5.587598990690806e-13,7.264671165416569e-14,0.24668597666942566,3.4361307094226246,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,9,,,,,,,9.32,1.244202889908355e-12,1.6169892742035223e-13,0.7017871371816483,0.6,9.6334600947452,0.0,0.0,-3.331793108598525e-14,-4.3300604460626666e-15,1.0,-6.126125896051746e-13,-9.733467799299684e-13,1.0,6.952321805782634e-13,-2.624625399139768e-12,0.09849931448153441,0.6544636666656729,,,,,,,,,1.0,
landing,9,,,,,,,,,,,,,,,,,,,,,,,,,9.59,1.777164872888443e-12,2.309410797903985e-13,0.25047448798050814,5.781755176031912e-14,1.7921073538611884e-12,0.0,0.0,1.0,
cycle,10,9.64,1.9810890534142492e-12,2.574447610403725e-13,0.24207220336718277,2.987647166496468,0.09849931448153441,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,10,,,,,,,10.08,5.552503528444597e-12,7.216777619943017e-13,0.8116497784404385,0.6,10.427365764427215,0.0,0.0,-7.114971076232612e-14,-9.247569815391205e-15,1.0,1.4819931065955323e-12,1.926419073281838e-13,1.0,1.7420489429386116e-11,2.2643709436533527e-12,0.05910210940492196,0.6906331726855073,,,,,,,,,1.0,
landing,10,,,,,,,,,,,,,,,,,,,,,,,,,10.39,8.299335399568101e-12,1.0787371396571766e-12,0.2546369803817952,2.7937095511470294e-13,8.369148217769832e-12,0.0,0.0,1.0,
cycle,11,10.44,8.94841788329005e-12,1.1631369997548459e-12,0.2425611901412848,3.342348852705876,0.05910210940492196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,11,,,,,,,10.870000000000001,1.7948039009313377e-11,2.3335157843348874e-12,0.8391592618000911,0.6,11.225349613106022,0.0,0.0,-2.1826468144879545e-14,-2.8377695748150693e-15,1.0,3.9495786612681215e-12,5.136313932970817e-13,1.0,4.903158029029199e-11,6.375836457653724e-12,0.05099450942442725,0.6986237867381285,,,,,,,,,1.0,
landing,11,,,,,,,,,,,,,,,,,,,,,,,,,11.19,2.474658746420807e-11,3.2176514283259843e-12,0.2603982126755293,8.183782649977641e-13,2.4954896750696208e-11,0.0,0.0,1.0,
cycle,12,11.24,2.5765005087930608e-11,3.3501150168905085e-12,0.23494221487123954,3.4207100080050146,0.05099450942442725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,12,,,,,,,11.69,3.676135632888111e-11,4.780675145533378e-12,0.8527199375111321,0.6,12.049219926661783,0.0,0.0,-5.930004838602497e-14,-7.711746001341247e-15,1.0,4.5831331366002035e-12,5.962456258584369e-13,1.0,7.340710536899092e-11,9.548106770671673e-12,0.0,0.7047613845339096,,,,,,,,,1.0,
landing,12,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.4503431277989217e-11,5.787870984970549e-12,0.27233687321208083,1.2446724344614887e-12,4.487822240300269e-11,0.0,0.0,1.0,
