type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.8600000000000003,0.0,0.0,0.2261706000000035,nan,nan,0.0,0.0,1.0,
cycle,1,2.91,0.0,0.0,0.2703124065665308,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,1,,,,,,,3.34,7.970472447420818e-20,-1.152355960658941e-20,0.852928413087513,0.6,3.699414303729599,0.4,0.0,0.06577747822164703,-3.6350166312983775e-10,0.9978343165870779,0.1090000429063305,-6.023596214029952e-10,0.9940417449214183,0.3965177170520411,-2.1912492468908535e-09,0.05514260311740356,0.6945120785179547,,,,,,,,,1.0,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.66,0.0003680904662044282,-2.0362397949272177e-12,0.22754331362539731,0.000368090466204428,nan,0.0,0.0,1.0,
cycle,2,3.71,0.011076808959533882,-6.129660919594542e-11,0.2630353358419785,3.380387924587647,0.05514260311740356,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,2,,,,,,,4.15,0.18280156327352898,-1.0115790825298984e-09,0.8484546235987118,0.6,4.5080070861881225,0.4,0.0,0.0,0.0,1.0,0.07474301048090097,-4.141992192381499e-10,0.997202829109631,0.7663446333646591,-4.245367532693292e-09,0.054302985572499615,0.6953403613541413,,,,,,,,,1.0,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.47,0.3109213394101474,-1.7212018524261186e-09,0.2345652101408941,0.01513867238960137,0.08907866058985266,0.0,0.0,1.0,
cycle,3,4.52,0.33661677289941105,-1.8599064128397863e-09,0.257459795697963,3.388510604463137,0.054302985572499615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plan,3,,,,,,,4.97,0.657555014622774,8.501915605809736e-07,0.8477003097441363,0.6,5.329228104236176,0.4,0.0,-0.21299831996627322,-1.308344744251126e-06,0.9770525654691427,-0.21971610236194541,-1.2551817302949763e-06,0.975563854579135,0.4044719151037326,3.7136372806858435e-08,0.05286838273425874,0.6967602597112381,,,,,,,,,1.0,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.28,0.8831916511626371,2.4966454848668893e-06,0.2551343004473631,0.03691419546624937,0.48319165116908713,0.0,0.0,1.0,
cycle,4,5.33,0.9014483629185721,-1.1907563261522646e-06,0.24242717324728627,3.4024350506867593,0.05286838273425874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
