sim_time,mode,qx,qy,qz,qw,r_ref_x,r_ref_y,r_ref_z,r_ref_w,roll,pitch,yaw,erot_x,erot_y,erot_z,omega_x,omega_y,omega_z,tau_x,tau_y,tau_z,thrust_des,thrust_actual,f0,f1,f2,f3,speed0,speed1,speed2,speed3,vz,z_target,pos_x,pos_y,pos_z
2.096,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,1.515821168902503e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699706,0.0,0.0,0.9699706
2.11,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,2.067028866685231e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036750000000002024,0.9699706,1.1858461261560205e-20,0.0,0.9692356
2.12,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,3.445048111142051e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05083750000000049,0.9699706,1.7787691892340307e-20,0.0,0.9675206000000001
2.13,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,4.656533901905101e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0945700000000016,0.9699706,-4.997494388800372e-20,0.0,0.9648256000000001
2.14,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,5.534952785280602e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1491560000000025,0.9699706,4.828087799349512e-20,0.0,0.9611506000000001
2.15,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,6.413371668656098e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21242480000000136,0.9699706,3.4982460721602604e-19,0.0,0.9564956
2.16,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,7.780288682866664e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2826398400000024,0.9699706,7.089665768518494e-19,0.0,0.9508606000000001
2.17,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,8.203516126145845e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3584118719999974,0.9699706,1.0071221742853631e-18,0.0,0.9442456000000001
2.18,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,7.938405294157431e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4386294976000016,0.9699706,1.2171863452044296e-18,0.0,0.9366506000000001
2.19,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,7.850930146109042e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5224035980799973,0.9699706,1.3662641439211864e-18,0.0,0.9280756000000001
2.2,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,7.064014492546805e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6090228784640015,0.9699706,1.4136979889674273e-18,0.0,0.9185206000000001
2.21,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,7.331810712378465e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6979183027711955,0.9699706,1.677972268510769e-18,0.0,0.9079856000000002
2.22,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,6.544895058816228e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7886346422169601,0.9699706,2.4233612620945533e-18,0.0,0.8964706000000002
2.23,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,6.823793508894138e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.880807713773563,0.9699706,3.683746287608952e-18,0.0,0.8839756000000002
2.24,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,7.069385268233299e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9741461710188566,0.9699706,5.432022290741828e-18,0.0,0.8705006000000002
2.25,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,8.081030914563816e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0684169368150762,0.9699706,7.68174179864925e-18,0.0,0.8560456000000003
2.26,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,5.284611586430046e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1634335494520671,0.9699706,1.0446457338487286e-17,0.0,0.8406106000000003
2.27,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,3.276450605780139e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2590468395616452,0.9699706,1.3712616383099868e-17,0.0,0.8241956000000004
