type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.48,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.5300000000000002,0.0,0.0,0.0,3.1315571206669692,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.2800000000000002,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
cycle,2,3.33,0.0,0.0,0.0,1.103248125,0.4469572057679681,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.65,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
cycle,3,4.7,0.0,0.0,0.0,2.0565174552083336,0.18827626095262678,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.59,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
cycle,4,5.63,0.0,0.0,0.0,2.471796084475171,0.12625553130958467,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.27,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.49,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,6.92,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
