type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.34,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.39,0.0,0.0,0.0,3.1315571206669692,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.16,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,2,3.21,0.0,0.0,0.0,1.132668075,0.43368559003373514,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.54,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,3,4.59,0.0,0.0,0.0,2.1113439087743506,0.17916741020601407,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.94,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,4,5.99,0.0,0.0,0.0,3.2002325486475245,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,4,,,,,,,,,,,,,,,,,,,,,,,,,7.18,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
cycle,5,7.23,0.0,0.0,0.0,3.990649809053266,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
landing,5,,,,,,,,,,,,,,,,,,,,,,,,,8.3,0.0,0.0,0.0,nan,nan,0.0,0.0,1.0,True,
