alpha_deg,theta_z_star_deg,phi_star_deg
-2.00000000,40.00000000,42.00000000
-1.00000000,33.48980569,34.48980569
0.00000000,0.00000000,0.00000000
1.00000000,1.26217581,0.26217581
8.00000000,10.13061668,2.13061668
9.00000000,11.40735420,2.40735420
10.00000000,12.68795884,2.68795884
11.00000000,13.97297501,2.97297501
12.00000000,15.26298945,3.26298945
13.00000000,16.55863902,3.55863902
14.00000000,17.86061998,3.86061998
15.00000000,19.16969894,4.16969894
16.00000000,20.48672627,4.48672627
17.00000000,21.81265231,4.81265231
18.00000000,23.14854756,5.14854756
19.00000000,24.49562777,5.49562777
20.00000000,25.85528578,5.85528578
21.00000000,27.22913242,6.22913242
22.00000000,28.61904973,6.61904973
23.00000000,30.02726159,7.02726159
24.00000000,31.45642903,7.45642903
25.00000000,32.90978197,7.90978197
26.00000000,34.39130551,8.39130551
27.00000000,35.90601156,8.90601156
28.00000000,37.46034865,9.46034865
29.00000000,39.06284652,10.06284652
30.00000000,40.00000000,10.00000000
31.00000000,40.00000000,9.00000000
32.00000000,40.00000000,8.00000000
33.00000000,40.00000000,7.00000000
34.00000000,40.00000000,6.00000000
35.00000000,40.00000000,5.00000000
