theta_z_deg,phi_deg,next_theta_z_deg,ratio,stable
0.00000000,-55.00000000,36.26552910,inf,0.00000000
1.00000000,-55.00000000,35.93398329,35.93398329,0.00000000
2.00000000,-55.00000000,35.60744941,17.80372470,0.00000000
3.00000000,-55.00000000,35.28645808,11.76215269,0.00000000
4.00000000,-55.00000000,34.97159008,8.74289752,0.00000000
5.00000000,-55.00000000,34.66348071,6.93269614,0.00000000
6.00000000,-55.00000000,34.36282443,5.72713741,0.00000000
7.00000000,-55.00000000,34.07037972,4.86719710,0.00000000
8.00000000,-55.00000000,33.78697419,4.22337177,0.00000000
9.00000000,-55.00000000,33.51350990,3.72372332,0.00000000
10.00000000,-55.00000000,33.25096887,3.32509689,0.00000000
11.00000000,-55.00000000,33.00041858,3.00003805,0.00000000
12.00000000,-55.00000000,32.76301766,2.73025147,0.00000000
13.00000000,-55.00000000,32.54002124,2.50307856,0.00000000
14.00000000,-55.00000000,32.33278620,2.30948473,0.00000000
15.00000000,-55.00000000,32.14277588,2.14285173,0.00000000
16.00000000,-55.00000000,31.97156401,1.99822275,0.00000000
17.00000000,-55.00000000,31.82083766,1.87181398,0.00000000
18.00000000,-55.00000000,31.69239869,1.76068882,0.00000000
19.00000000,-55.00000000,31.58816330,1.66253491,0.00000000
20.00000000,-55.00000000,31.51015913,1.57550796,0.00000000
21.00000000,-55.00000000,31.46051927,1.49811997,0.00000000
22.00000000,-55.00000000,31.44147243,1.42915784,0.00000000
23.00000000,-55.00000000,31.45532857,1.36762298,0.00000000
24.00000000,-55.00000000,31.50445909,1.31268580,0.00000000
25.00000000,-55.00000000,31.59127095,1.26365084,0.00000000
26.00000000,-55.00000000,31.71817383,1.21992976,0.00000000
27.00000000,-55.00000000,31.88754000,1.18102000,0.00000000
28.00000000,-55.00000000,32.10165651,1.14648773,0.00000000
29.00000000,-55.00000000,32.36267022,1.11595415,0.00000000
30.00000000,-55.00000000,32.67252623,1.08908421,0.00000000
31.00000000,-55.00000000,33.03290168,1.06557747,0.00000000
32.00000000,-55.00000000,33.44513724,1.04516054,0.00000000
33.00000000,-55.00000000,33.91016999,1.02758091,0.00000000
34.00000000,-55.00000000,34.42847204,1.01260212,0.00000000
35.00000000,-55.00000000,35.00000000,1.00000000,0.00000000
36.00000000,-55.00000000,35.33174033,0.98143723,1.00000000
37.00000000,-55.00000000,35.66919708,0.96403235,1.00000000
38.00000000,-55.00000000,36.01270632,0.94770280,1.00000000
39.00000000,-55.00000000,36.36262207,0.93237492,1.00000000
40.00000000,-55.00000000,36.71931770,0.91798294,1.00000000
