sim_time,mode,qx,qy,qz,qw,r_ref_x,r_ref_y,r_ref_z,r_ref_w,roll,pitch,yaw,erot_x,erot_y,erot_z,omega_x,omega_y,omega_z,tau_x,tau_y,tau_z,thrust_des,thrust_actual,f0,f1,f2,f3,speed0,speed1,speed2,speed3,vz,z_target,pos_x,pos_y,pos_z
2.126,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,1.515821168902503e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699706,0.0,0.0,0.9699706
2.14,zero_thrust,0.0,-3.469446951953614e-18,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-6.938893903907228e-18,0.0,0.0,0.0,0.0,0.0,2.067028866685231e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9699706,1.1858461261560205e-20,0.0,0.9692356
2.15,zero_thrust,1.1091534188989912e-26,-9.950996048418979e-07,1.2656497250903603e-22,0.9999999999995048,0.0,0.0,0.0,1.0,2.1931178869751142e-26,-1.990199209684125e-06,2.5312994499637375e-22,0.0,0.0,0.0,6.284553046774577e-24,-0.0005314708099827351,-6.374396475892043e-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01805263025513157,0.9699706,-2.3997031891361602e-09,-5.552896897492401e-29,0.9675206001257625
2.16,zero_thrust,1.6804921987083224e-25,-8.042738386667553e-06,1.6453446429913227e-21,0.9999999999676572,0.0,0.0,0.0,1.0,3.096322867318834e-25,-1.6085476773508524e-05,3.290689283598784e-21,0.0,0.0,0.0,8.803344075165099e-23,-0.0023722848036588444,7.593898350712419e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06834207127942792,0.9699706,-3.3814521045695785e-08,-4.882964194843831e-28,0.9648256017719964
2.17,zero_thrust,1.0871259487358563e-24,-2.939670017480106e-05,2.151604534232316e-21,0.9999999995679171,0.0,0.0,0.0,1.0,2.0477517532963103e-24,-5.8793400358070004e-05,4.3032090101268315e-21,0.0,0.0,0.0,1.9365794850655755e-22,-0.006176046012578427,-4.577503571796609e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1281735407318818,0.9699706,-1.44814320230067e-07,-5.756974570806407e-27,0.9611506075865793
2.18,zero_thrust,2.524200329208957e-24,-7.68930269307265e-05,2.7844293792732933e-21,0.9999999970437313,0.0,0.0,0.0,1.0,4.620194291633295e-24,-0.00015378605401299733,5.568858419748905e-21,0.0,0.0,0.0,3.0829662207438995e-22,-0.012677202467732882,9.515626769906417e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19563855494133464,0.9699706,-4.1008791311965716e-07,-1.5166845905033523e-26,0.956495621468788
2.19,zero_thrust,4.239088461243238e-24,-0.00016585901688774898,-7.593900172099041e-22,0.9999999862453932,0.0,0.0,0.0,1.0,8.730080649565401e-24,-0.00033171803529638175,-1.5187815032726444e-21,0.0,0.0,0.0,-6.01390109637366e-24,-0.02254127415312325,-1.2656497251176746e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26921030206171004,0.9699706,-9.289207726606417e-07,-2.7909076005556954e-26,0.9508606485633557
2.2,zero_thrust,2.7415392411275143e-24,-0.0003150576871975841,-5.695424918298835e-21,0.9999999503693257,0.0,0.0,0.0,1.0,9.071854815828631e-24,-0.0006301153848195187,-1.1390853260090996e-20,0.0,0.0,0.0,-7.587708882957925e-22,-0.03647052779181856,-1.0125197800947768e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3476673098078832,0.9699706,-1.824519078816106e-06,-1.8044392539122084e-26,0.9442456951554301
2.21,zero_thrust,-3.0325414877722576e-24,-0.0005464060907315292,-1.126428590135911e-20,0.9999998507201809,0.0,0.0,0.0,1.0,6.244670507150653e-24,-0.00109281223584133,-2.2528578577906356e-20,0.0,0.0,0.0,-1.7396661745913698e-21,-0.05503493611406864,-1.771909615165382e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4300323814263047,0.9699706,-3.2428050075956325e-06,3.4862215955896164e-26,0.93665076847643
2.22,zero_thrust,-1.537704792271335e-23,-0.000884731785225346,-1.987070837141614e-20,0.9999996086247575,0.0,0.0,0.0,1.0,4.4064176714852636e-24,-0.0017694638012921398,-3.9741436195144286e-20,0.0,0.0,0.0,-3.5215752501452625e-21,-0.07881876010031609,-2.2781695052124514e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5155237470532501,0.9699706,-5.350400794811736e-06,1.6289447968636014e-25,0.9280758763808199
