type,cycle,t_takeoff,p_takeoff_x,p_takeoff_y,p_takeoff_z,vz_est,dt_pa,t_apex,p_apex_x,p_apex_y,z_apex,z_d,t_land_pred,p_des_x,p_des_y,z_b_ld_x,z_b_ld_y,z_b_ld_z,z_b_to_x,z_b_to_y,z_b_to_z,p_land_next_x,p_land_next_y,dt_pa_next,dt_pj_next,t_landing,p_land_x,p_land_y,p_land_z,err_xy_pred,err_ref,tilt_corr_x,tilt_corr_y,tilt_scale,stabilizer_active,error
landing,0,,,,,,,,,,,,,,,,,,,,,,,,,2.47,0.0,0.0,0.2261706000000035,nan,nan,0.0,0.0,1.0,False,
cycle,1,2.52,0.0,0.0,0.2703124065665308,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,1,,,,,,,2.95,8.141077057470923e-20,-1.1747740616847833e-20,0.8544464825035623,0.8,3.309709706423305,5.427384704980616e-20,-7.831827077898556e-21,0.0,0.0,1.0,-1.2857562777692859e-19,-1.9791273955432419e-19,1.0,-6.689179910274516e-20,-8.204950880438713e-19,0.11377529626350562,0.7490764219760458,,,,,,,,,1.0,True,
landing,1,,,,,,,,,,,,,,,,,,,,,,,,,3.27,5.615305534210389e-19,-7.585759896347783e-20,0.2300349280754472,3.1969101097191965e-19,nan,0.0,0.0,1.0,True,
cycle,2,3.32,4.356395601397076e-18,-6.954587851656586e-19,0.26589224057651545,3.3847890438808412,0.11377529626350562,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,2,,,,,,,3.8200000000000003,8.688367652421363e-17,-3.958439235297664e-18,1.0248794999802582,0.8,4.225153964715499,2.896122550807121e-17,-1.3194797450992217e-18,0.0,0.0,1.0,-4.777006792434175e-17,-8.660126993797405e-17,1.0,1.837710845749949e-17,-4.1082909889556527e-16,0.060629827396113015,0.797358008657211,,,,,,,,,1.0,True,
landing,2,,,,,,,,,,,,,,,,,,,,,,,,,4.2,1.6485640217038802e-16,-8.61369541488343e-19,0.21736362687687147,2.559384745175507e-18,1.6480433861562005e-16,0.0,0.0,1.0,True,
cycle,3,4.25,1.8553150890585488e-16,3.622562894483834e-18,0.27596588163541086,3.8582696659076885,0.060629827396113015,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
plan,3,,,,,,,4.75,5.28053174157405e-16,7.715524662783273e-17,1.052158603287184,0.8,5.161962527310679,0.0,0.0,0.0,0.0,1.0,-1.8935501212827274e-16,-3.8301521771686795e-16,1.0,2.4789455745764324e-16,-1.6723616172168146e-15,0.056101682858666804,0.8017923914169196,,,,,,,,,1.0,True,
landing,3,,,,,,,,,,,,,,,,,,,,,,,,,5.12,8.396943568602833e-16,1.0244447492300411e-16,0.24582866418550184,2.887586040104104e-17,8.173464189439673e-16,0.0,0.0,1.0,True,
